// HSK Standard Course 4 上/L07
流血	liúxiě	v. to bleed 
擦	cā	v. to wipe
气候	qìhòu	n. climate
估计	gūjì	v. estimate 
咳嗽	késou	v. to cough
严重	yánzhòng	adj. serious, grave
窗户	chuānghu	n. window
空气	kōngqì	n. air
抽烟	chōuyān	v. to smoke
动作	dòngzuò	n. action, movement
帅	shuài	adj. handsome
出现	chūxiàn	to appear, to emerge 
后悔	hòuhuǐ	to regret 
来不及	láibùjí	v. to be too late to
反对	fǎnduì	v. to oppose
大夫	dàifu	n. doctor
植物	zhíwù	n. plant
研究	Yánjiū	to study; to do research 
超过	chāo guò	to exceed; to surpass;
散步	sànbù	to take a walk 
指	zhǐ	v. to refer to
精神	jīngshén	spirit; mind; vitality 
教授	jiàoshòu	professor 
数字	shùzì	number 
说明	shuōmíng	explain; show 
要是	yàoshi	conj. if, supposing
既...又...	jì...yòu...	adv. both...and...
减肥	jiǎn féi	to lose weight 
辛苦	xīnkǔ	hard, toilsome 
肚子	dù zi	belly; stomach 
感情	gǎnqíng	n. affection, love 
烦恼	fánnǎo	adj. worried 
掉	diào	V+~ off, up, indicates the result of an action 
// HSK Standard Course 4 上/L08
巧克力	qiǎokèlì	n. chocolate 
亲戚	qīnqi	n. relative 
伤心	shāngxīn	adj. sad, sorrowful 
使	shǐ	v. to make, to cause 
心情	xīnqíng	n. mood 
愉快	yúkuài	adj. glad, cheerful 
景色	jǐngsè	n. scene, view 
放松	fàngsōng	v. to relax 
压力	yālì	pressure, burden 
回忆	huíyì	v. to recall, to call to mind 
发生	fāshēng	v. to happen, to take place 
成为	chéngwéi	to become to turn into (sth/sb good)
只要	zhǐyào	conj. as long as, provided 
师傅	shīfu	a polite title for person with accomplished skills 
大使馆	dàshǐguǎn	n. embassy 
距离	jùlí	distance 
堵车	dǔchē	traffic jam 
生命	shēngmìng	life 
耐心	nàixīn	patience 
到处	dàochù	adv. everywhere 
缺少	quēshǎo	v. to lack 
态度	tàidù	attitude 
科学	kēxué	n. science 
因此	yīncǐ	conj. therefore, so 
证明	zhèngmíng	to prove 
往往	wǎngwǎng	adv. often, usually 
阳光	yángguāng	adj. optimistic,cheerful 
积极	jījí	positive, active 
特点	tèdiǎn	characteristic 
// HSK Standard Course 4 上/L09
饼干	bǐng gān	biscuit；cracker；cookies 
难道	nándào	adv. used in a rhetorical question for emphasis 
得奖	déjiǎng	to win a prize 
坚持	jiānchí	Insist on; persist in 
放弃	fàngqì	to give up 
主意	zhǔyi	Idea; plan 
网球	wǎngqiú	tennis 
国际	guójì	international 
轻松	qīngsōng	adj. relaxed, effortless 
赢	yíng	to win 
随便	suíbiàn	casual, random, informal 
汗	hàn	n. sweat 
通过	tōngguò	prep. through, by mean of； v. pass
篇	piān	m.w. used for writings, papers or articles 
作家	zuòjiā	writer 
当时	dāngshí	then, at that time 
可是	kěshì	conj. but, however 
正确	zhèngquè	right, correct 
理想	lǐxiǎng	n. ideal 
勇敢	yǒnggǎn	brave 
结果	jiéguǒ	result, outcome 
失败	shībài	failure, fail 
过程	guocheng	Course, process 
至少	zhìshǎo	adv. at least 
总结	zǒngjié	summary, to summarise 
取	qǔ	v. to gain, to seek 
经历	jīnglì	v. to go through, to experience 
许多	xǔduō	num. many, plenty of
区别	qūbié	n. difference, distinction
暂时	zànshí	temporary; provisional; for the time being
面对	miànduì	v. to face, to comfront 
// HSK Standard Course 4 上/L10
礼拜天	lǐ bài tiān	Sunday 
空	kòng	free time 
母亲	mǔqīn	mother 
不过	búguò	but, however 
永远	yǒng yuǎn	always, forever / eternal 
方向	fāngxiàng	direction 
优秀	yōuxiù	outstanding; excellent 
硕士	shuò shì	master's degree 
翻译	fān yì	translate；translator; translation 
确实	què shí	indeed, truely 
兴奋	xīng fèn	Excited; excitement 
拉	lā	to pull, to drag 
建议	jiàn yì	to suggest; suggestion 
职业	zhí yè	profession, occupation 
关键	guān jiàn	key; crucial 
将来	jiāng lái	future 
发展	fāzhǎn	develop, development 
困	kùn	sleepy 
躺	tǎng	to lie down 
经济	jīng jì	economy 
条件	tiáo jiàn 	conditions, requirement 
富	fù	rich 
穷	qióng	poor 
等等	děng	etc. 
由于	yóu yú	due to 
比如	bǐ rú	for example 
橡皮	xiàng pí	eraser 
糖	táng	sugar, candy 
低	dī	low 
答案	dá'àn 	answer, solution 
