香	xiang1
演出[演出]	yan3chu1
大自然[大自然]	da4zi4ran2
缺少[缺少]	que1shao3
美	mei3
// New Concept Chinese 3/L17
老板[老闆]	lao3ban3
工厂[工廠]	gong1chang3
检查[檢查]	jian3cha2
懒洋洋[懶洋洋]	lan3yang1yang1
靠[靠]	kao4
不满[不滿]	bu4man3
周[週]	zhou1
挣[掙]	zheng4
元	yuan2
严肃[嚴肅]	yan2su4
工资[工資]	gong1zi1
厂[廠]	chang3
工人[工人]	gong1ren2
小心翼翼[小心翼翼]	xiao3xin1yi4yi4
愉快	yu2kuai4
接受[接受]	jie1shou4
邀请[邀請]	yao1qing3
任务[任務]	ren4wu5
好好儿[好好兒]	hao3hao1r5
情况[情況]	qing2kuang4
肯定[肯定]	ken3ding4
难过[難過]	nan2guo4
出门[出門]	chu1men2
关[關]	guan1
灯[燈]	deng1
// New Concept Chinese 3/L18
店[店]	dian4
已经[已經]	yi3jing1
传说[傳說]	chuan2shuo1
小名[小名]	xiao3ming2
顾客[顧客]	gu4ke4
只好[只好]	zhi3hao3
钱数
开玩笑[開玩笑]	kai1wan2xiao4
后来[後來]	hou4lai2
叫做	jiao4zuo4
// New Concept Chinese 3/L20
数字[數字]	shu4zi4
东部[東部]	dong1bu4
陆地[陸地]	lu4di4
平方公里	ping2fang1 gong1li3
公里	gong1li3
河	he2
长[長]	chang2
高	gao1
米	mi3
山峰	shan1feng1
总人口[總人口]	zong3ren2kou3
总[總]	zong3
人口[人口]	ren2kou3
多民族[多民族]	duo1min2zu2
民族[民族]	min2zu2
占[占]	zhan4
全国[全國]	quan2guo2
全	quan2
以上[以上]	yi3shang4
亚洲[亞洲]	Ya4zhou1
黄河[黃河]	Huang2 He2
珠穆朗玛[珠穆朗瑪]	Zhu1mu4lang3ma3
长江[長江]	Chang2 Jiang1
汉族[漢族]	Han4zu2
珞巴族[珞巴族]	Luo4ba1zu2
圆周率[圓周率]	yuan2zhou1lü4
计算[計算]	ji4suan4
之间[之間]	zhi1jian1
网民[網民]	wang3min2
经历[經歷]	jing1li4
海洋[海洋]	hai3yang2
使用[使用]	shi3yong4
